cell_id	plate_id	well_id	plate_col	plate_row	sort_gate	sort_mode	sort_count	dna_library_id	dna_read_pairs	dna_unpaired_reads	dna_unmapped	dna_dups_pct	rna_library_id	ercc_frac	rna_counts	rna_features	source	timepoint
VZA01803.A01	VZA01803	A01	1	A	G1	Single Cell	1	VZA01803D_A01	234359	14414	20518	0.050253000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A02	VZA01803	A02	2	A	G1	Single Cell	1	VZA01803D_A02	138318	8897	12795	0.05011000000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A03	VZA01803	A03	3	A	G1	Single Cell	1	VZA01803D_A03	120482	5967	8977	0.033706	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A04	VZA01803	A04	4	A	G1	Single Cell	1	VZA01803D_A04	336406	13358	20104	0.045652000000000005	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A05	VZA01803	A05	5	A	G1	Single Cell	1	VZA01803D_A05	110765	5390	8186	0.031712000000000004	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A06	VZA01803	A06	6	A	G1	Single Cell	1	VZA01803D_A06	213672	12570	17740	0.042017000000000006	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A07	VZA01803	A07	7	A	G1	Single Cell	1	VZA01803D_A07	236146	11902	18002	0.050967	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A08	VZA01803	A08	8	A	G1	Single Cell	1	VZA01803D_A08	288865	12744	19482	0.045496999999999996	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A09	VZA01803	A09	9	A	G1	Single Cell	1	VZA01803D_A09	207077	11042	16008	0.04251200000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A10	VZA01803	A10	10	A	G1	Single Cell	1	VZA01803D_A10	321224	16270	23774	0.050345	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A11	VZA01803	A11	11	A	G1	Single Cell	1	VZA01803D_A11	138120	6635	9879	0.036467999999999993	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A12	VZA01803	A12	12	A	G1	Single Cell	1	VZA01803D_A12	161182	9845	14083	0.042055	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A13	VZA01803	A13	13	A	G1	Single Cell	1	VZA01803D_A13	257478	13111	18719	0.046865	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A14	VZA01803	A14	14	A	G1	Single Cell	1	VZA01803D_A14	320073	13784	21468	0.05081700000000001	NA	NA	NA	NA	X-ray 3Gy	96h
VZA01803.A15	VZA01803	A15	15	A	G1	Single Cell	1	VZA01803D_A15	355018	18128	25988	0.05435000000000001	NA	NA	NA	NA	X-ray 3Gy	96h
